dialogue,classification,translation
"siknu =an ka somo ki p ne ruwe ne kus,",ainu,I must not go on living.
"""i= ka opiwki."" sekor i= ye korka.",ainu,"“Help!” he said to me, but,"
"nina pa kor a= tura wa,",ainu,"When I went to collect firewood with them,"
akusu soyne wa ek wa,ainu,[the woman] came out and
to piskan ta inaw ka a= roski wa oka ruwe ne.,ainu,There were inaw prayer sticks set around the lake.
"sorekusu hemtomaniwa konto a= enonnoytak wa ne noyne,",ainu,"and from a certain time, it seemed as if somebody had put a curse on me."
kiyanne kur tan Iskar putu ta an.,ainu,The oldest brother lives at the mouth of this Ishikari River.
okkayo hekaci ka poronno a= kor pe ne kusu,ainu,"As we had many boys,"
coypep hene a= eywanke p hene sutketusi omare omare wa,ainu,She put and put dishes and [other] useful things into the chest.
"""ray =an kusu ne yakka a= i= rayke kusu ne yakka,",ainu,"""Whether I die or am killed,"
a= wenhuraha ka kamuy'utar ne yakka usitomare wa V,ainu,even the Gods altogether became scared at my bad smell.
"nani mukka neno a= sirkooterke wa isam pe ne yak a= ye p,",ainu,"It was said that his whole body had been kicked down,"
"inne =an wa arki =an h_ine ritur_ ta rewsi =an pa ruwe ne h_ine ora,",ainu,"There were many of us, and while stopping to spend the night midway,"
"sekor hawean =an kor orano ki ruwe anak ene an h_i,",ainu,I said and she brought it close.
"eci= okake ta suke =an wa a= ipere yak yaykotuyasi kusu,",ainu,"and fed him after you left, everything would be fine."
ineapkusun yuptek menoko ne wa siran y_a ka a= eramiskari,ainu,I could tell that she was a hard worker.
"epunkine p an anan w_a,",ainu,[The creature] turned out to be on the watch.
"orano nen poka a= kar wa a= siknure rusuy kus,",ainu,I wanted to help her somehow.
"pet or_ ta irama ... pet or_ ta cepkoyki =an yakka,",ainu,"Even when catching river fish,"
"paye =an orano sorekusu a= acautari cis kor i= koonkami pa ruwe ne hine,",ainu,"When we got there, my uncles cried and worshipped me."
"orano arpa =an ayne, Yupet ta kotan or_ ta arpa =an akusu,",ainu,"When I went all the way and reached the village of Yupet,"
atusa cironnup e= ne ruwe ne,ainu,are a naked fox!
kamuy he ne ya,ainu,or a God
"kinakar =an w_a a= e kor,",ainu,I gathered plants and ate them.
"suke =an w_a a= ipere akusu,",ainu,I cooked and fed him
arpa =an a arpa =an a kusu,ainu,"as I kept going,"
"ar suy ne suy nay poro wa cepkoyki =an kusu, ora arpa =an.",ainu,"One day, the mountain stream was high so I went up the mountain to fish."
"a= sapa sirka ta a= anu kor hinak un hekaci cis haw a= nu wa kusu,",ainu,"and put my head on the floor, I could hear the voice of a child crying somewhere."
